Name,Area,Rating,Price,Cuisine
East Coast At Madras Square,Neelangarai,4.6,"₹1,700 for two","Italian, Continental, North Indian, Asian, Chinese, Desserts, Beverages"
Goldman’s Steakhouse,Nungambakkam,2.3,"₹1,000 for two","American, Mexican, Beverages"
Soy Soi,Kotturpuram,4.7,"₹1,400 for two","Chinese, Asian, Desserts, Beverages"
The Mayflower,Teynampet,4.4,"₹1,500 for two","Italian, Asian, Continental, European, Mediterranean, Healthy Food, Desserts, American"
Amelie's,Alwarpet,4.2,₹900 for two,"Fast Food, Continental, Italian, Desserts, Beverages, Shake"
Fromage,MRC Nagar,4.5,"₹1,000 for two","Cafe, Italian, French, European, American, Beverages"
Bay 6,Akkarai,3.9,"₹1,500 for two","Continental, Asian, North Indian, Thai"
The Thief,Nungambakkam,4.2,"₹1,800 for two","North Indian, Continental, Italian, Asian, Desserts, Beverages"
Sage and Lavender Bistro,Alwarpet,3,"₹1,000 for two","Continental, European, Asian"
The Living Room,Anna Nagar East,3.8,"₹1,800 for two","North Indian, South Indian, Italian, Fast Food"
Coal Barbecues,T. Nagar,4.3,"₹1,400 for two","North Indian, Chinese, Desserts"
27 Culinary Street,Mylapore,4.3,₹800 for two,"Chinese, Street Food, Fast Food, North Indian, Sichuan"
SpiceKlub,Nungambakkam,4.6,"₹1,500 for two","North Indian, Desserts, Beverages"
Wild Garden Cafe - Amethyst,Royapettah,4.3,"₹1,400 for two","Cafe, Continental, Chinese, Italian, Desserts, Shake, Beverages"
Barracuda Brew,Nungambakkam,3.6,"₹2,200 for two","North Indian, Continental, Chinese, Italian, Desserts"
Ministry Of Drinks - MOD,Nandanam,4.2,"₹1,500 for two","Finger Food, Italian, Chinese, North Indian"
Nasi And Mee,Nungambakkam,4.7,"₹1,200 for two","Asian, Japanese, Singaporean, Malaysian, Thai"
Dhaba - Estd 1986 Delhi,Ispahani Centre Nungambakkam,4.4,"₹2,000 for two","Mughlai, North Indian, Desserts, Beverages"
Purple Chameleon,Velachery,2.8,"₹1,500 for two","Bar Food, Beverages"
Trella,Jaag Hotels T.Nagar,3.8,"₹2,000 for two","Continental, Asian, Beverages, Desserts, Bar Food, Salad, Mexican, Italian"
Cafe De Bangkok,Nandanam,4.3,₹600 for two,"Continental, Thai, Asian, Italian, Beverages, Sichuan"
Hamsa,Adyar,4.6,"₹1,500 for two","North Indian, Desserts, Beverages"
10 Downing Street,T. Nagar,4.1,"₹1,500 for two","Finger Food, North Indian, Chinese, Continental"
Mount Road Social,E Hotel Royapettah,4.2,"₹1,500 for two","North Indian, Chinese, Biryani, Pizza, Pasta, Burger, Kebab, Rolls"
MKC - Madras Kitchen Company,The Westin Velachery,4.5,"₹1,200 for two","Cafe, Asian, North Indian, Desserts, Beverages"
Cafe De Paris,Foodies Kitchen,4.4,₹900 for two,"Continental, American, Italian, Bakery, Desserts, Beverages"
Locofeast,Nungambakkam,4.1,₹800 for two,"North Indian, Continental, Seafood, Fast Food, Beverages, Shake, Sichuan"
Hub at ECR,Injambakkam,4.3,"₹2,000 for two","Continental, North Indian, Italian, Pizza, Kebab, Seafood"
The Mayflower,Palavakkam,4.2,₹700 for two,"Continental, Asian, American, Mexican, Desserts"
The Bark,Alwarpet,4.3,"₹1,000 for two","Cafe, Mexican, Italian, Continental, Beverages, Coffee, Fast Food, Shake"
J.Hind - Grand By GRT Hotels,Grand by GRT Hotels,4.7,"₹2,500 for two","North Indian, Mughlai, South Indian, Beverages"
Toscano,Nungambakkam,4.5,"₹1,200 for two","Italian, Continental, Healthy Food, Desserts, Beverages, Shake"
Les Amis,Alwarpet,3.9,₹500 for two,"Desserts, Ice Cream, Continental, Waffle, Beverages, Healthy Food, Juices, Cafe"
Off The Record,Nungambakkam,4.3,"₹1,500 for two","European, Continental, North Indian"
Far East,Nungambakkam,4.2,₹600 for two,"Japanese, Sushi, Malaysian, Singaporean, Thai, Chinese, Sichuan"
Pantry d'or,Anna Nagar East,4.4,₹750 for two,"Continental, American, Italian, Desserts, Beverages, Shake, Waffle, Fast Food"
Mezze,Alwarpet,4.8,"₹1,000 for two","Middle Eastern, Continental, Beverages, Fast Food"
The Cycle Gap,Adyar,4.4,"₹1,500 for two","North Indian, Finger Food, Continental, Asian, Beverages, Desserts"
Tea Villa Cafe,T. Nagar,4.3,"₹1,000 for two","Continental, North Indian, Italian, Chinese, Fast Food, Desserts, Beverages, Sichuan"
Watson's,T. Nagar,4.2,"₹1,000 for two","Asian, Continental, Finger Food, North Indian"
Bazaar - All Day Diner - Grand by GRT Hotels,Grand by GRT Hotels,4.4,"₹2,500 for two","North Indian, South Indian, Continental, Asian, Beverages, Desserts"
Pumpkin Tales,Abhiramapuram,4.5,"₹1,800 for two","Singaporean, Thai, Continental, Bakery, Desserts"
Nght Mrkt,Nungambakkam,3.6,₹800 for two,"Italian, Asian, North Indian, South Indian, Arabian, Momos"
The Tap House Restobar,T. Nagar,4.1,"₹1,200 for two","Chinese, North Indian, Fast Food, Beverages, Finger Food"
Aeseo,RA Puram,3.8,"₹2,600 for two",Korean
Fika,Adyar,3.6,"₹1,000 for two","Continental, Pasta, Pizza, Fast Food, Desserts, Beverages"
Chamiers Cafe,RA Puram,4.3,"₹1,000 for two","Cafe, Fast Food, Continental, Italian, Beverages"
The Greenhouse Barbecue,Kilpauk,4.3,"₹1,200 for two","BBQ, North Indian, Beverages"
